"","DS_P12A_1","DS_P12B_1","DS_P12C_1"
"1","jardines","supervisor","mantenimiento"
"2",NA,NA,NA
"3","paramedico","cuidados y atencion integral de pacientes","atencion de pacientes"
"4","aseo","aseo","asesora de hogar"
"5",NA,NA,NA
"6",NA,NA,NA
"7","artezano","artesano en maderas","artesani≠a"
"8",NA,NA,NA
"9","temporera","temporera","viÒas"
"10","maestro carpintero","maestro carpintero","constructora"
"11","asesora del hogar","asesora del hogar","casa particular"
"12","transportistas","transportistas","transporte"
"13","auxiliar de easeo","auxiliar de aseo","colegio"
"14","vendedor en tienda de calzado","vender calzados","fabrica y venta de calzados"
"15","baby sister","cuidado de niÒos",NA
"16","manipuladora de alimentos","manipuladora de alimentos","hogar de niÒos"
"17",NA,NA,NA
"18",NA,NA,NA
"19","tecnico parvularia","cuidar de niÒos","cuidar y educar niÒo menores de 6 aÒos"
"20",NA,NA,NA
"21","logistica",NA,NA
"22","empresario","empresario","dueÒo"
"23",NA,NA,NA
"24",NA,NA,NA
"25",NA,NA,NA
"26","supervisas bodega mantencion","supervisora bodega mantencion logistica","transferencia de carga"
"27","taxista","taxista","taxista"
"28","contruccion","contratista",NA
"29","contruccion","obrero","contratista empresa"
"30","contruccion","contruccion",NA
"31","analista de control de calidad",NA,NA
"32","guardia",NA,NA
"33",NA,NA,NA
"34","comerciante",NA,NA
"35","auxiliar de aseo",NA,NA
"36","conserje",NA,NA
"37","colero en feria libre","vender cachureos",NA
"38","ingeniero en prevencion","constructora","constructora"
"39","kinesiologo","area respiratoria","salud"
"40","asesora de hogar","aseo",NA
"41","maquinista","maquinista",NA
"42",NA,NA,NA
"43",NA,NA,NA
"44",NA,NA,NA
"45",NA,NA,NA
"46",NA,NA,NA
"47",NA,NA,NA
"48","venta de ropa en a feria libres","vender","venta ropa usada en feria libres"
"49",NA,NA,NA
"50",NA,NA,NA
"51",NA,NA,NA
"52","tenia una lavanderia",NA,NA
"53","educadora de parvulos","ver niÒos","ver niÒos y niÒas, organizar el dia"
"54","cheff",NA,NA
"55",NA,NA,NA
"56","jornaleros","construccion","construccion jornaler o"
"57",NA,NA,NA
"58","agricultura",NA,NA
